swd;ws;pedFlow;pvQ;pedInfr;Obstr;Pres_pol_c;Crime;Crashes;Lighting;Cs;ptStops;Tcontrl;trFlow;crTime;trDens;insDens;ResDens;Aesthetics;Trees;Block;noise;StagH2o;Slope;AirPol;Cleanless;mpgaDens;Cluster_Jerarquico
0.0000;0.5333;0.5100;0.0000;0.6500;0.4167;0.4400;0.5800;0.0000;0.3700;0.5333;0.3700;0.7667;0.0000;0.0000;0.5100;0.4400;0.5800;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;2
0.6500;0.5333;0.6500;0.4167;0.0000;0.0000;0.0000;0.5333;0.0000;0.4167;0.4400;0.4400;0.3700;0.5800;0.5100;0.5800;0.5100;0.0000;0.3467;0.5333;0.3933;0.4867;0.0000;0.0000;0.0000;0.4400;0.3700;2
1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.7667;0.5333;0.0000;0.5333;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;4
0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;2
1.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.5333;0.7667;0.0000;0.0000;0.7667;0.5333;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;2
0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.6500;0.4167;0.0000;0.5333;0.7667;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.4167;0.0000;0.6500;0.0000;0.5333;0.7667;2
0.0000;0.6500;0.5333;0.4167;0.5333;0.0000;0.0000;0.4167;0.0000;0.6500;0.5800;0.3933;0.4400;0.5100;0.3700;0.4867;0.4400;0.3467;0.0000;0.5800;0.3700;0.0000;0.0000;0.5100;0.0000;0.4400;0.5333;2
0.5333;0.4400;0.0000;0.3933;0.4867;0.3467;0.6500;0.4167;0.0000;0.5333;0.7667;0.4167;0.5333;0.0000;0.0000;0.5333;0.0000;0.0000;0.3467;0.5333;0.0000;0.4867;0.0000;0.0000;0.3933;0.4400;0.6500;2
0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;3
0.4400;0.0000;0.4167;0.5800;0.5100;0.3700;0.6500;0.0000;0.0000;0.5333;0.4167;0.0000;0.6500;0.0000;0.5333;0.7667;0.0000;0.5333;0.0000;0.5800;0.4400;0.0000;0.0000;0.5100;0.0000;0.3700;0.0000;2
0.4400;0.0000;0.0000;0.5800;0.5100;0.3700;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;1.0000;0.0000;0.0000;0.3700;0.5800;0.5100;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.4400;3
0.0000;0.0000;0.0000;0.7667;0.5333;0.0000;0.7667;0.0000;0.0000;0.5333;0.7667;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;0.5333;0.5333;1
0.0000;0.0000;0.5333;0.5333;0.7667;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.5333;0.5333;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;0.5333;0.7667;1
0.0000;0.0000;0.0000;0.6500;0.5333;0.4167;0.5333;0.0000;0.0000;0.7667;0.0000;0.5333;0.5333;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.6500;0.0000;0.4167;0.7667;1
0.3933;0.3467;0.5100;0.5333;0.4867;0.4400;0.4400;0.3700;0.0000;0.5800;0.4167;0.4867;0.6500;0.0000;0.5333;0.4400;0.3933;0.3467;0.4361;0.4167;0.3194;0.3583;0.3389;0.4556;0.3778;0.3972;0.5333;2
0.3700;0.4400;0.5333;0.5800;0.5100;0.0000;0.6500;0.0000;0.0000;0.4167;0.0000;0.0000;0.7667;0.5333;0.0000;0.7667;0.0000;0.0000;0.0000;0.7667;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.5333;4
0.0000;0.0000;0.0000;0.6500;0.5333;0.4167;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.7667;0.0000;0.5333;0.5333;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;0.7667;0.7667;1
0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.5333;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;1
0.0000;0.0000;0.0000;0.6500;0.5333;0.4167;0.7667;0.0000;0.3700;0.5333;0.5800;0.0000;0.5100;0.0000;0.4400;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;0.7667;1.0000;1
0.0000;0.0000;0.0000;0.7667;0.5333;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.7667;0.0000;0.5333;0.5333;0.7667;0.0000;0.0000;0.6500;0.0000;0.0000;0.0000;0.5333;0.0000;0.4167;0.0000;3
0.0000;0.0000;0.5333;0.6500;0.5333;0.4167;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.7667;1.0000;0.0000;0.0000;0.4167;0.0000;0.0000;0.6500;0.0000;0.0000;0.0000;0.5333;0.0000;4
0.0000;0.0000;0.0000;0.7667;0.5333;0.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;1.0000;0.0000;0.0000;0.7667;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;3
0.3467;0.5333;0.0000;0.4867;0.4400;0.3933;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.7667;0.0000;0.5333;0.5333;0.0000;0.0000;0.0000;0.4167;0.0000;0.0000;0.0000;0.5333;0.6500;0.0000;0.7667;4
0.0000;0.0000;0.0000;0.5333;0.7667;0.0000;0.7667;0.0000;0.0000;0.5333;0.0000;1.0000;0.7667;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.6500;0.0000;0.0000;0.4167;0.0000;1
0.3933;0.3467;0.4400;0.4400;0.5333;0.4867;0.5100;0.5800;0.0000;0.3700;0.5333;0.3933;0.6500;0.0000;0.4167;0.5333;0.4867;0.4400;0.0000;0.3667;0.0000;0.4667;0.4333;0.3333;0.5000;0.4000;0.3467;2
0.0000;0.0000;0.0000;0.4167;0.5333;0.6500;0.7667;0.0000;0.0000;0.5333;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;0.0000;1
0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;1.0000;0.7667;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;1
0.0000;0.4400;0.0000;0.5800;0.5100;0.3700;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.6500;0.0000;0.4167;0.0000;0.0000;0.0000;0.5333;0.0000;4
0.0000;0.0000;0.5333;0.6500;0.5333;0.4167;0.7667;0.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.5333;0.0000;0.4400;0.0000;0.3467;0.3933;0.4867;0.0000;4
0.0000;0.4400;0.0000;0.5100;0.5800;0.3700;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;1.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5000;0.0000;0.3333;0.4333;0.4000;0.3667;0.4667;0.7667;4
0.0000;0.0000;0.0000;0.5333;0.4167;0.6500;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;1.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5800;0.0000;0.0000;0.0000;0.5100;0.3700;0.4400;0.7667;4
0.0000;0.4400;0.4167;0.5800;0.5100;0.3700;0.5333;0.0000;0.0000;0.6500;0.5333;0.5333;0.7667;0.0000;0.0000;0.4867;0.4400;0.3933;0.4867;0.5333;0.3467;0.0000;0.3933;0.0000;0.0000;0.4400;0.3467;2
0.0000;0.5333;0.5333;0.0000;0.6500;0.4167;0.0000;0.0000;0.0000;0.7667;0.5333;0.3467;0.0000;0.4167;0.6500;0.5333;0.4400;0.4867;0.4867;0.5333;0.4400;0.0000;0.0000;0.3467;0.0000;0.3933;0.3933;2
0.0000;0.0000;0.5333;0.6500;0.5333;0.4167;0.0000;0.0000;0.0000;0.7667;0.7667;0.0000;0.5333;0.0000;0.0000;0.5100;0.4400;0.3700;0.4400;0.5333;0.0000;0.3933;0.0000;0.4867;0.0000;0.3467;0.5800;2
0.0000;0.5333;0.0000;0.6500;0.0000;0.4167;0.7667;0.0000;0.6500;0.5333;0.0000;0.6500;0.5333;0.0000;0.4167;0.5333;0.4167;0.0000;0.0000;0.5800;0.0000;0.0000;0.3700;0.4400;0.0000;0.5100;0.0000;1
0.0000;0.5333;0.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.7667;0.5333;0.7667;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.0000;0.0000;0.7667;0.0000;2
0.0000;0.0000;0.0000;0.0000;0.7667;0.5333;0.7667;0.5333;0.0000;0.0000;0.7667;0.5333;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.5333;0.0000;0.0000;0.7667;0.0000;0.0000;0.0000;0.0000;2
0.0000;0.0000;0.0000;0.0000;1.0000;0.0000;0.0000;0.0000;0.0000;1.0000;0.7667;0.0000;0.0000;0.5333;0.0000;0.5333;0.0000;0.0000;0.4167;0.5333;0.0000;0.6500;0.0000;0.0000;0.0000;0.0000;0.7667;2
0.0000;0.3700;0.5333;0.5100;0.5800;0.4400;0.4167;0.0000;0.0000;0.6500;0.5333;0.4167;0.7667;0.0000;0.0000;0.6500;0.5333;0.0000;0.0000;0.5800;0.0000;0.3700;0.0000;0.5100;0.0000;0.4400;0.0000;2
